Date,CE16OV,EXUSEU,IPMAN,M1SL,M1V,UNRATE,Market Value,Estimate,Sigma,Recommended Percent Stock
2010-03-04,138803.83870967742,1.3555193548387097,92.56361612903225,1712.1548387096775,8.672451612903226,9.9,45.16534,41.386266283757124,-1.0732356526356008,-0.26345971321818373
2010-03-11,138927.12903225806,1.3520645161290321,92.75428709677419,1709.016129032258,8.68283870967742,9.9,45.600964,41.048782707450485,-1.292793850362394,-0.5299245223214712
2010-03-18,139050.4193548387,1.3486096774193548,92.94495806451613,1705.8774193548386,8.693225806451613,9.9,46.168095,40.711299131143875,-1.549699295475365,-0.8417154784250844
2010-03-25,139173.70967741936,1.3451548387096772,93.13562903225807,1702.7387096774194,8.703612903225807,9.9,46.357143,40.373815554837165,-1.6992312978551949,-1.023193632652579
2010-04-01,139297.0,1.3417,93.3263,1699.6,8.714,9.9,47.034573,40.03633197853047,-1.98746103779241,-1.3730010341772994
2010-04-08,139283.93333333332,1.3217733333333332,93.63322666666667,1702.12,8.714,9.83,47.785881,40.66453443133209,-2.022422319897769,-1.4154314761223683
2010-04-15,139270.86666666667,1.3018466666666666,93.94015333333334,1704.64,8.714,9.76,47.653782,41.292736884133646,-1.8065009891256036,-1.153380517509896
2010-04-22,139257.8,1.28192,94.24708,1707.16,8.714,9.69,48.685795,41.92093933693524,-1.9211809103721478,-1.2925607605585545
2010-04-29,139244.73333333334,1.2619933333333333,94.55400666666667,1709.68,8.714,9.62,47.521694,42.549141789736765,-1.4121768235715129,-0.6748125815955559
2010-05-06,139224.87096774194,1.2508161290322581,94.62126451612903,1713.383870967742,8.714,9.567741935483872,44.599056,43.10904097388279,-0.423155876033453,0.5255036931482204
2010-05-13,139202.29032258064,1.2431387096774194,94.59265483870968,1717.5612903225808,8.714,9.522580645161291,45.556763,43.641618850566594,-0.5438901528366777,0.3789756365614778
2010-05-20,139179.70967741936,1.2354612903225806,94.56404516129032,1721.7387096774194,8.714,9.477419354838709,43.64962,44.174196727250326,0.1489768362570278,1.2198673540848712
2010-05-27,139157.12903225806,1.2277838709677418,94.53543548387097,1725.9161290322581,8.714,9.432258064516128,43.756939,44.70677460393413,0.26974796228591386,1.366440132399079
2010-06-03,139143.53333333333,1.2262199999999999,94.55302,1728.3133333333335,8.709466666666668,9.4,42.568077,44.99021076708699,0.6878723490143381,1.873892990204272
2010-06-10,139152.4,1.2399399999999998,94.68609000000001,1726.26,8.6936,9.4,43.64962,44.65079264641244,0.28432739323265227,1.384134326122109
2010-06-17,139161.26666666666,1.25366,94.81916,1724.2066666666667,8.677733333333334,9.4,44.61557,44.31137452573793,-0.08638980153925702,0.9342167755184022
2010-06-24,139170.13333333333,1.26738,94.95223,1722.1533333333332,8.661866666666667,9.4,42.840527,43.97195640506335,0.3213195791167345,1.4290295559608097
2010-07-01,139179.0,1.2811,95.0853,1720.1,8.646,9.4,40.753929,43.63253828438887,0.8175088251746179,2.0312251200473854
2010-07-08,139237.48387096773,1.2831774193548386,95.12219677419355,1726.332258064516,8.646,9.422580645161291,43.102398,43.8389273764949,0.2091701949793333,1.292920476251521
2010-07-15,139295.96774193548,1.2852548387096774,95.1590935483871,1732.5645161290322,8.646,9.44516129032258,42.538113,44.04531646860091,0.42803729689790854,1.5585465432148409
2010-07-22,139354.4516129032,1.2873322580645161,95.19599032258064,1738.7967741935483,8.646,9.467741935483872,43.948849,44.25170556070695,0.08600955763002288,1.143447689263352
2010-07-29,139412.93548387097,1.2894096774193549,95.23288709677419,1745.0290322580645,8.646,9.490322580645161,44.139706,44.45809465281287,0.09042058431533127,1.1488010916679063
2010-08-05,139432.5806451613,1.2928806451612904,95.25142258064515,1749.9064516129033,8.646,9.5,44.820179,44.73606273762577,-0.023888544792988867,1.0100708571242905
2010-08-12,139423.09677419355,1.2973967741935484,95.2561870967742,1753.7677419354839,8.646,9.5,43.260071,45.067715066968915,0.5133607348297539,1.6620985573775573
2010-08-19,139413.61290322582,1.3019129032258066,95.26095161290323,1757.6290322580644,8.646,9.5,42.787052,45.399367396311916,0.7418828606598842,1.9394423562685255
2010-08-26,139404.12903225806,1.3064290322580645,95.26571612903226,1761.4903225806452,8.646,9.5,42.662579,45.73101972565509,0.8714198854120596,2.096653787815015
2010-09-02,139386.76666666666,1.31296,95.27203,1765.3066666666666,8.6377,9.496666666666666,44.305683,45.95951553341331,0.46967912552721064,1.6090847696682489
2010-09-09,139322.13333333333,1.33158,95.28764,1768.8533333333332,8.579600000000001,9.473333333333333,44.496555,45.56907221166226,0.3045888479692418,1.4087244563219317
2010-09-16,139257.5,1.3502,95.30324999999999,1772.4,8.5215,9.45,44.878281,45.17862888991121,0.08529710925222514,1.142583032771582
2010-09-23,139192.86666666667,1.36882,95.31886,1775.9466666666667,8.4634,9.426666666666668,45.318096,44.78818556816012,-0.15049157832239973,0.8564202373314919
2010-09-30,139128.23333333334,1.3874399999999998,95.33447,1779.4933333333333,8.4053,9.403333333333334,45.590591,44.397742246409095,-0.3387623282004865,0.6279271546526884
2010-10-07,139104.48387096773,1.3853193548387095,95.34523548387097,1789.2322580645161,8.397,9.47741935483871,46.400982,44.71572226606661,-0.47860427348495305,0.458209250057635
2010-10-14,139087.5483870968,1.379741935483871,95.35519354838709,1800.0032258064516,8.397,9.567741935483872,46.275661,45.15177284262531,-0.31917790724353357,0.6516956089655928
2010-10-21,139070.61290322582,1.3741645161290321,95.36515161290322,1810.774193548387,8.397,9.658064516129032,46.634907,45.587823419184105,-0.29736584004458316,0.6781676258726943
2010-10-28,139053.67741935485,1.3685870967741935,95.37510967741935,1821.5451612903225,8.397,9.748387096774195,46.50959,46.02387399574292,-0.1379406097806076,0.8716526061119625
2010-11-04,139069.7,1.36107,95.42895,1828.68,8.397,9.75,48.280746,46.49536097172998,-0.5070392931964861,0.4236993470900846
2010-11-11,139129.66666666666,1.3509666666666666,95.54129999999999,1830.9666666666667,8.397,9.633333333333335,47.228081,47.014096480288025,-0.060770398492073475,0.965309530938096
2010-11-18,139189.63333333333,1.3408633333333333,95.65365,1833.2533333333333,8.397,9.516666666666667,47.177948,47.53283198884597,0.10078505421632562,1.1613798362660097
2010-11-25,139249.6,1.33076,95.766,1835.54,8.397,9.4,46.367554,48.05156749740385,0.4782503493290496,1.6194871574532885
2010-12-02,139299.35483870967,1.322583870967742,95.8694,1838.151612903226,8.389096774193549,9.293548387096775,48.080246,48.44337955512102,0.10312788457899014,1.164223191020295
2010-12-09,139287.83870967742,1.3259709677419356,95.9191,1842.7129032258065,8.333774193548386,9.248387096774193,49.024296,48.07365090779298,-0.2699778523965843,0.7114068079023645
2010-12-16,139276.32258064515,1.3293580645161291,95.9688,1847.274193548387,8.278451612903226,9.203225806451613,49.199745,47.70392226046496,-0.4248052339365611,0.5235019649351769
2010-12-23,139264.8064516129,1.3327451612903225,96.0185,1851.8354838709677,8.223129032258065,9.158064516129032,49.64254,47.33419361313691,-0.6555573738521949,0.24345172973828333
2010-12-30,139253.29032258064,1.336132258064516,96.0682,1856.3967741935485,8.167806451612902,9.112903225806452,50.084099,46.964464965808915,-0.885958496728653,-0.036172496822611366
2011-01-06,139273.2258064516,1.3416967741935484,96.10722258064517,1860.458064516129,8.152,9.083870967741936,50.790096,47.08989914690784,-1.0508350677151321,-0.236273447132769
2011-01-13,139305.74193548388,1.348132258064516,96.14197419354839,1864.3193548387096,8.152,9.061290322580644,51.790264,47.4133984593774,-1.2430051641486621,-0.46949893628184536
2011-01-20,139338.25806451612,1.3545677419354838,96.17672580645161,1868.1806451612904,8.152,9.038709677419355,51.61377,47.736897771847005,-1.10100987924185,-0.2971676506454841
2011-01-27,139370.7741935484,1.3610032258064515,96.21147741935484,1872.041935483871,8.152,9.016129032258064,51.311188,48.0603970843166,-0.9232063124304333,-0.08137796946380949
2011-02-03,139411.5,1.3681999999999999,96.28040714285714,1876.0714285714284,8.152,9.0,52.689568,48.36377148183375,-1.2285018493787407,-0.45189712026429496
2011-02-10,139472.75,1.3773,96.43478214285715,1880.5214285714285,8.152,9.0,53.395573,48.61683359196972,-1.3571350792415242,-0.608011669366112
2011-02-17,139534.0,1.3863999999999999,96.58915714285715,1884.9714285714285,8.152,9.0,54.101589,48.86989570210572,-1.4857714330423506,-0.7641300098069128
2011-02-24,139595.25,1.3955,96.74353214285715,1889.4214285714286,8.152,9.0,53.185467,49.12295781224172,-1.1537297303098357,-0.3611506182423725
2011-03-03,139635.5806451613,1.4048387096774193,96.8177935483871,1893.148387096774,8.14374193548387,9.006451612903225,53.143433,49.171028338273416,-1.1281405523624974,-0.33009454524011406
2011-03-10,139623.61290322582,1.414774193548387,96.69177096774195,1895.0677419354838,8.114838709677418,9.029032258064516,52.706379,48.70661990404461,-1.1359090576302953,-0.3395227209795484
2011-03-17,139611.64516129033,1.4247096774193548,96.56574838709678,1896.9870967741936,8.085935483870967,9.051612903225806,51.91634,48.242211469815885,-1.0434318108193796,-0.22728855175699247
2011-03-24,139599.67741935485,1.4346451612903226,96.4397258064516,1898.906451612903,8.057032258064515,9.074193548387097,52.790432,47.777803035587105,-1.423558396047981,-0.688625723480657
