Date,IPMAN,M1SL,M2MSL,M2SL,M3SL,UNRATE,WTB3MS,Market Value,Estimate,Sigma,Recommended Percent Stock
2014-11-20,103.23281,2920.08,11118.476666666666,11642.18,10298.7,5.673333333333333,0.02725,85.2129,82.80983712887769,-0.6194697408651805,0.5612126121954386
2014-11-27,103.16204,2932.8199999999997,11137.773333333333,11660.52,10298.7,5.626666666666666,0.028999999999999998,85.8045,83.18594576421827,-0.675019839628059,0.5246870287615615
2014-12-04,103.06754193548387,2940.4870967741936,11155.158064516128,11676.932258064517,10298.7,5.609677419354838,0.029806451612903226,85.8773,83.33809992581863,-0.6545636532694459,0.5381374844442751
2014-12-11,102.9414064516129,2941.3903225806453,11169.993548387096,11690.774193548386,10298.7,5.632258064516129,0.02935483870967742,84.3664,83.19164812243194,-0.30283154466037554,0.7694101692006754
2014-12-18,102.81527096774194,2942.2935483870965,11184.829032258063,11704.616129032258,10298.7,5.654838709677419,0.02890322580645161,85.6043,83.04519631904532,-0.6596944728906482,0.5347638418345948
2014-12-25,102.68913548387097,2943.196774193548,11199.664516129033,11718.458064516128,10298.7,5.67741935483871,0.028451612903225808,86.7955,82.89874451565862,-1.0045189158836032,0.30803312050244935
2015-01-01,102.563,2944.1,11214.5,11732.3,10298.7,5.7,0.028,85.8615,82.752292712272,-0.8015020563841775,0.44152179838550776
2015-01-08,102.43433548387097,2958.506451612903,11241.912903225806,11758.764516129031,10298.7,5.65483870967742,0.025629032258064517,85.596,83.11766531816254,-0.6388735648926351,0.5484541111444075
2015-01-15,102.30567096774193,2972.9129032258065,11269.325806451612,11785.229032258065,10298.7,5.609677419354838,0.023258064516129034,82.3637,83.48303792405308,0.28854674677316816,1.1582562307881321
2015-01-22,102.17700645161291,2987.31935483871,11296.738709677418,11811.693548387097,10298.7,5.564516129032258,0.02088709677419355,85.1839,83.84841052994362,-0.34426702933395265,0.742165298601467
2015-01-29,102.04834193548388,3001.725806451613,11324.151612903226,11838.158064516128,10298.7,5.519354838709678,0.018516129032258067,83.1145,84.2137831358341,0.28337695508339905,1.1548569630657386
2015-02-05,102.03095714285715,3007.0285714285715,11339.8,11852.0,10298.7,5.5,0.01892857142857143,85.3029,84.36123578719976,-0.2427454116558082,0.8089183089367645
2015-02-12,102.09703214285715,3005.5035714285714,11346.625,11856.375,10298.7,5.5,0.02142857142857143,86.4017,84.34524847267174,-0.5301190867889707,0.6199629086487904
2015-02-19,102.16310714285714,3003.9785714285717,11353.45,11860.75,10298.7,5.5,0.02392857142857143,86.4384,84.3292611581437,-0.5437010023808528,0.6110324584391379
2015-02-26,102.22918214285714,3002.4535714285716,11360.275000000001,11865.125,10298.7,5.5,0.02642857142857143,86.7314,84.31327384361566,-0.6233528059027096,0.5586593995249649
2015-03-05,102.2469064516129,3001.9290322580646,11370.503225806453,11873.077419354839,10298.7,5.487096774193549,0.0275,86.2278,84.3071908832704,-0.49510116699033074,0.642988069355449
2015-03-12,102.22836774193547,3002.1548387096777,11383.283870967742,11883.712903225807,10298.7,5.464516129032258,0.0275,85.0191,84.30853618856227,-0.18317156218801914,0.8480896093965768
2015-03-19,102.20982903225806,3002.3806451612904,11396.064516129032,11894.348387096774,10298.7,5.441935483870968,0.0275,85.4952,84.30988149385406,-0.30555544620519814,0.7676191356047537
2015-03-26,102.19129032258064,3002.6064516129036,11408.845161290323,11904.983870967742,10298.7,5.419354838709678,0.0275,84.5562,84.31122679914593,-0.0631500270241012,0.9270067795568794
2015-04-02,102.17099666666667,3002.26,11421.253333333332,11915.223333333333,10298.7,5.403333333333333,0.02705,85.2746,84.28145238991223,-0.2560169773563249,0.8001919215659407
2015-04-09,102.14017333333334,2998.48,11431.426666666666,11923.086666666666,10298.7,5.426666666666667,0.0239,86.2693,84.0649596935255,-0.5682423605474324,0.594895899814456
2015-04-16,102.10935,2994.7,11441.599999999999,11930.95,10298.7,5.45,0.02075,87.1718,83.84846699713887,-0.8567001133555862,0.4052276912606366
2015-04-23,102.07852666666666,2990.92,11451.773333333333,11938.813333333334,10298.7,5.473333333333334,0.0176,87.1258,83.63197430075213,-0.9006503019749825,0.37632933973465976
